;Kingdom;Phylum;Class;Order;Family;Genus;Species
2205;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Neobacillus;s__thermocopriae
2207;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__galegae
2208;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__huautlense
2209;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Neorhizobium;s__petrolearium
2221;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Niallia;s__oryzisoli
2223;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Niastella;s__caeni
2227;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Niastella;s__vici
2230;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Nitratireductor;s__aestuarii
2233;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Nitratireductor;s__lucknowense
2237;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Nitrobacter;s__hamburgensis
2238;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Nitrobacter;s__vulgaris
2239;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Nitrobacter;s__winogradskyi
2243;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;s__multiformis
2261;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__agrisoli
2273;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__cynanchi
2282;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__gansuensis
2283;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__ginkgobilobae
2284;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__humi
2294;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__luteus
2295;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__marinus
2297;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__nematodiphilus
2302;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__panaciterrulae
2308;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriaceae;f__Nocardioidaceae;g__Nocardioides;s__terrae
2321;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__arenae
2323;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__aurantiacum
2328;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum;s__massiliense
2335;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__arabidopsis
2336;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__aromaticivorans
2339;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__clariflavum
2342;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__endophyticum
2343;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__flavum
2346;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__guangzhouense
