;Kingdom;Phylum;Class;Order;Family;Genus;Species
2680;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Paraclostridium;s__bifermentans
2695;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__yeei
2698;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__rhizosphaerae
2699;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas;s__terrae
2700;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Paraflavitalea;s__devenefica
2701;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Paraflavitalea;s__soli
2703;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Parageobacillus;s__caldoxylosilyticus
2713;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pararobbsia;s__silviterrae
2714;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parasegetibacter;s__terrae
2717;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Parvibaculum;s__lavamentivorans
2718;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Parvibaculaceae;g__Parvibaculum;s__sedimenti
2719;k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__Patulibacter;s__brassicae
2720;k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__Patulibacter;s__medicamentivorans
2723;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Paucisalibacillus;s__globulus
2739;k__Bacteria;p__Bacteroidota;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__mongoliensis
2741;k__Bacteria;p__Bacteroidota;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__nanyangensis
2744;k__Bacteria;p__Bacteroidota;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__planticolens
2755;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingosinicellaceae;g__Pedomonas;s__mirosovicensis
2764;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;s__saccharophila
2769;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Peribacillus;s__asahii
2776;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Peribacillus;s__tepidiphilus
2789;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__haematophilum
2790;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__hankyongense
2793;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__kunshanense
2795;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__mobile
2796;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__muchangponense
2798;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__parvum
2799;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__soli
2800;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__terrae
2801;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__zucineum
2817;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Pigmentiphaga;s__daeguensis
2822;k__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomicrobium;s__piriforme
2828;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Planifilum;s__fulgidum
2847;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Pollutimonas;s__nitritireducens
2848;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Pollutimonas;s__subterranea
2857;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Steroidobacteraceae;g__Povalibacter;s__uvarum
2858;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Pradoshia;s__eiseniae
2874;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Protaetiibacter;s__intestinalis
2875;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Protaetiibacter;s__larvae
2889;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__chlorophenolicus
2891;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__oxydans
2892;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__phenanthrenivorans
2898;k__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Pseudobdellovibrionaceae;g__Pseudobdellovibrio;s__exovorus
2909;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Pseudoduganella;s__rivuli
2911;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Pseudoflavitalea;s__rhizosphaerae
2917;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Pseudolabrys;s__taiwanensis
2918;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Pseudolysinimonas;s__kribbensis
2927;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__baltica
2933;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__citronellolis
2937;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__delhiensis
2941;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__flexibilis
2957;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__knackmussii
2968;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__oryzihabitans
3007;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Pseudorhodoplanes;s__sinuspersici
3015;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__jiangsuensis
3020;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__suwonensis
3021;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__taiwanensis
3025;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Psychrobacillus;s__lasiicapitis
3027;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Psychrobacillus;s__vulpis
3031;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__dinghuensis
3032;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Pullulanibacillus;s__camelliae
3034;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Pullulanibacillus;s__pueri
3037;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pusillimonas;s__ginsengisoli
3039;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pusillimonas;s__noertemannii
3041;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Pusillimonas;s__thiosulfatoxidans
3051;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__mannitolilytica
3052;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__pickettii
3053;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__solanacearum
3054;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__syzygii
3055;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__agri
3057;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__ginsenosidimutans
3059;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__humi
3060;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__monticola
3066;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Rathayibacter;s__caricis
3073;k__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Reticulibacterales;f__Reticulibacteraceae;g__Reticulibacter;s__mediterranei
3074;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Reyranellaceae;g__Reyranella;s__graminifolii
3075;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Reyranellaceae;g__Reyranella;s__massiliensis
3077;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Reyranellaceae;g__Reyranella;s__terrae
3080;k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Rhabdothermincola;s__salaria
3081;k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Rhabdothermincola;s__sediminis
3089;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__alvei
3091;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__azibense
3092;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__binae
3097;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__daejeonense
3098;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__deserti
3099;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__dioscoreae
3112;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__metallidurans
3115;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__oryzicola
3118;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__pisi
3123;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Rhizobium;s__tropici
3126;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__electricum
3127;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__palustre
3133;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__caeni
3134;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__denitrificans
3135;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__fulvus
3137;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__ginsenosidimutans
3139;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__humi
3140;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__hydrolyticus
3141;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__lindaniclasticus
3143;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__rhizosphaerae
3144;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__soli
3145;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__spathiphylli
3146;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__terrae
3148;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rhodanobacter;s__umsongensis
3151;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__artemisiae
3155;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__pyridinivorans
3156;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__rhodochrous
3163;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Rhodoferax;s__sediminis
3166;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Rhodomicrobium;s__lacus
3168;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodopila;s__globiformis
3169;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodoplanes;s__azumiensis
3171;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodoplanes;s__serenus
3173;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodoplanes;s__tepidicaeni
3177;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Rhodopseudomonas;s__rhenobacensis
3179;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodovastum;s__atsumiense
3190;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__hominis
3192;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__lituseburensis
3195;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Romboutsia;s__timonensis
3199;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Roseiarcaceae;g__Roseiarcus;s__fermentans
3202;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseococcus;s__pinisoli
3209;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__gilardii
3213;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Roseomonas;s__musae
3221;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacteriales;f__Rhodanobacteriaceae;g__Rudaea;s__cellulosilytica
3223;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micromonosporales;f__Micromonosporaceae;g__Rugosimonospora;s__acidiphila
3261;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Savagea;s__faecisuis
3267;k__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria;s__paludicola
3270;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Scopulibacillus;s__daqui
3280;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__soli
3281;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Segetibacter;s__aerophilus
3289;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Shinella;s__fusca
3292;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Shinella;s__oryzae
3294;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Shinella;s__yambaruensis
3295;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Shinella;s__zoogloeoides
3302;k__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Silvibacterium;s__dinghuense
3312;k__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Singulisphaera;s__acidiphila
3313;k__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Singulisphaera;s__rosea
3320;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Solibacillus;s__cecembensis
3321;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Solibacillus;s__isronensis
3327;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Solimonas;s__soli
3328;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Solimonas;s__terrae
3329;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Solimonas;s__variicoloris
3330;k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__ginsenosidimutans
3332;k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__soli
3334;k__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Sorangium;s__cellulosum
3363;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__xanthum
3365;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__yanoikuyae
3367;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__aliaeris
3370;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__asaccharolytica
3374;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__changbaiensis
3377;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__colocasiae
3386;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__formosensis
3387;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__gilva
3390;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__hengshuiensis
3399;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__mali
3406;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__oligoaromativorans
3411;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__polyaromaticivorans
3413;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__pruni
3420;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__suaedae
3429;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__zeicaulis
3432;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__fribergensis
3433;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__ginsengisoli
3442;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__taejonensis
3447;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinicella;s__ginsenosidimutans
3450;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptosporangiales;f__Thermomonosporaceae;g__Spirillospora;s__tritici
3456;k__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Sporocytophaga;s__myxococcoides
3465;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Sporosarcina;s__luteola
3479;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__acidaminiphila
3481;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__humi
3482;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__koreensis
3483;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__maltophilia
3488;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__terrae
3529;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__harenosi
3574;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__thermocarboxydus
3575;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__thermocoprophilus
3576;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__thermodiastaticus
3580;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__thermoviolaceus
3581;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__thermoviolaceus
3598;k__Bacteria;p__Bacillota;c__Sulfobacillia;o__Sulfobacillales;f__Sulfobacillaceae;g__Sulfobacillus;s__acidophilus
3616;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__chishuiensis
3617;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__coffeisoli
3618;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__helva
3622;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__soli
3623;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__yonginensis
3626;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Tardiphaga;s__robiniae
3642;k__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__Tepidisphaera;s__mucosa
3647;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Terricaulis;s__silvestris
3648;k__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Terriglobus;s__albidus
3649;k__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Terriglobus;s__aquaticus
